Domain Code,Domain,Reporter Country Code (FAO),Reporter Countries,Partner Country Code (FAO),Partner Countries,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TM","Detailed trade matrix","231","United States of America","9","Argentina","5610","Import Quantity","515","Apples","2007","2007","tonnes","4424","","Official data"
"TM","Detailed trade matrix","231","United States of America","9","Argentina","5610","Import Quantity","515","Apples","2008","2008","tonnes","2243","","Official data"
"TM","Detailed trade matrix","231","United States of America","9","Argentina","5610","Import Quantity","515","Apples","2009","2009","tonnes","1885","","Official data"
"TM","Detailed trade matrix","231","United States of America","9","Argentina","5610","Import Quantity","515","Apples","2010","2010","tonnes","5705","","Official data"
"TM","Detailed trade matrix","231","United States of America","9","Argentina","5610","Import Quantity","515","Apples","2011","2011","tonnes","4551","","Official data"
"TM","Detailed trade matrix","231","United States of America","9","Argentina","5610","Import Quantity","515","Apples","2012","2012","tonnes","4718","","Official data"
"TM","Detailed trade matrix","231","United States of America","9","Argentina","5610","Import Quantity","515","Apples","2013","2013","tonnes","8263","","Official data"
"TM","Detailed trade matrix","231","United States of America","9","Argentina","5610","Import Quantity","515","Apples","2014","2014","tonnes","9336","","Official data"
"TM","Detailed trade matrix","231","United States of America","9","Argentina","5610","Import Quantity","515","Apples","2015","2015","tonnes","13850","","Official data"
"TM","Detailed trade matrix","231","United States of America","9","Argentina","5610","Import Quantity","515","Apples","2016","2016","tonnes","10953","","Official data"
"TM","Detailed trade matrix","231","United States of America","9","Argentina","5610","Import Quantity","515","Apples","2017","2017","tonnes","10236","","Official data"
"TM","Detailed trade matrix","231","United States of America","9","Argentina","5610","Import Quantity","515","Apples","2018","2018","tonnes","6646","","Official data"
"TM","Detailed trade matrix","231","United States of America","9","Argentina","5610","Import Quantity","515","Apples","2019","2019","tonnes","11526","","Official data"
"TM","Detailed trade matrix","231","United States of America","9","Argentina","5610","Import Quantity","515","Apples","2020","2020","tonnes","5391","","Official data"
"TM","Detailed trade matrix","231","United States of America","9","Argentina","5622","Import Value","515","Apples","1986","1986","1000 US$","1529","","Official data"
"TM","Detailed trade matrix","231","United States of America","9","Argentina","5622","Import Value","515","Apples","1987","1987","1000 US$","6301","","Official data"
"TM","Detailed trade matrix","231","United States of America","9","Argentina","5622","Import Value","515","Apples","1988","1988","1000 US$","5120","","Official data"
"TM","Detailed trade matrix","231","United States of America","9","Argentina","5622","Import Value","515","Apples","1989","1989","1000 US$","9771","","Official data"
"TM","Detailed trade matrix","231","United States of America","9","Argentina","5622","Import Value","515","Apples","1990","1990","1000 US$","3540","","Official data"
